NAME                                       READY   STATUS             RESTARTS        AGE     IP            NODE                             NOMINATED NODE   READINESS GATES
default-publish-api-54d488cf5f-2smnr       0/2     CrashLoopBackOff   6 (4m57s ago)   10m     10.224.0.60   aks-system-12296413-vmss000000   <none>           <none>
default-publish-api-7997dbd966-xsg95       0/2     CrashLoopBackOff   8 (4m29s ago)   20m     10.224.0.22   aks-system-12296413-vmss000001   <none>           <none>
default-query-host-5c9b69855d-rhc7c        0/2     CrashLoopBackOff   6 (4m46s ago)   10m     10.224.0.14   aks-system-12296413-vmss000001   <none>           <none>
default-query-host-6648c44f9-cqnmv         0/2     CrashLoopBackOff   8 (4m57s ago)   20m     10.224.0.13   aks-system-12296413-vmss000001   <none>           <none>
default-view-svc-59cc5cf78b-c64fq          0/2     CrashLoopBackOff   8 (4m56s ago)   20m     10.224.0.38   aks-system-12296413-vmss000000   <none>           <none>
default-view-svc-8698f5ff6c-z9jxh          0/2     CrashLoopBackOff   6 (5m1s ago)    10m     10.224.0.49   aks-system-12296413-vmss000000   <none>           <none>
drasi-api-6999764d79-g68dv                 2/2     Running            0               19m     10.224.0.48   aks-system-12296413-vmss000000   <none>           <none>
drasi-mongo-0                              1/1     Running            0               4m33s   10.224.0.56   aks-system-12296413-vmss000000   <none>           <none>
drasi-mongo-init-qzdsx                     0/1     Completed          0               45m     10.224.0.56   aks-system-12296413-vmss000000   <none>           <none>
drasi-redis-0                              1/1     Running            0               4m27s   10.224.0.28   aks-system-12296413-vmss000001   <none>           <none>
drasi-resource-provider-7858d77494-fck2s   2/2     Running            0               19m     10.224.0.6    aks-system-12296413-vmss000001   <none>           <none>

