NAME                                       READY   STATUS             RESTARTS        AGE    IP            NODE                             NOMINATED NODE   READINESS GATES
default-publish-api-54d488cf5f-2smnr       0/2     CrashLoopBackOff   9 (2m26s ago)   23m    10.224.0.60   aks-system-12296413-vmss000000   <none>           <none>
default-publish-api-bbf795587-pr9wb        0/2     CrashLoopBackOff   7 (59s ago)     12m    10.224.0.55   aks-system-12296413-vmss000000   <none>           <none>
default-query-host-5c9b69855d-rhc7c        0/2     CrashLoopBackOff   9 (2m4s ago)    23m    10.224.0.14   aks-system-12296413-vmss000001   <none>           <none>
default-query-host-86545969c-b882s         0/2     CrashLoopBackOff   6 (2m9s ago)    8m1s   10.224.0.23   aks-system-12296413-vmss000001   <none>           <none>
default-view-svc-6769fdccc7-kqqgb          0/2     CrashLoopBackOff   5 (61s ago)     4m1s   10.224.0.21   aks-system-12296413-vmss000001   <none>           <none>
default-view-svc-8698f5ff6c-z9jxh          0/2     CrashLoopBackOff   9 (2m25s ago)   23m    10.224.0.49   aks-system-12296413-vmss000000   <none>           <none>
drasi-api-6999764d79-g68dv                 2/2     Running            0               31m    10.224.0.48   aks-system-12296413-vmss000000   <none>           <none>
drasi-mongo-0                              1/1     Running            0               17m    10.224.0.56   aks-system-12296413-vmss000000   <none>           <none>
drasi-mongo-init-qzdsx                     0/1     Completed          0               58m    10.224.0.56   aks-system-12296413-vmss000000   <none>           <none>
drasi-redis-0                              1/1     Running            0               17m    10.224.0.28   aks-system-12296413-vmss000001   <none>           <none>
drasi-resource-provider-7858d77494-fck2s   2/2     Running            0               31m    10.224.0.6    aks-system-12296413-vmss000001   <none>           <none>

