LAST SEEN   TYPE      REASON                   OBJECT                                          MESSAGE
61m         Normal    Scheduled                pod/drasi-resource-provider-58f69699f-56d58     Successfully assigned drasi-system/drasi-resource-provider-58f69699f-56d58 to aks-system-12296413-vmss000001
61m         Normal    Scheduled                pod/drasi-api-698fd9bfd6-5nlt9                  Successfully assigned drasi-system/drasi-api-698fd9bfd6-5nlt9 to aks-system-12296413-vmss000001
60m         Normal    Started                  pod/drasi-api-698fd9bfd6-5nlt9                  Started container drasi-api
60m         Normal    Pulled                   pod/drasi-api-698fd9bfd6-5nlt9                  Container image "ghcr.io/drasi-project/api:0.9.2" already present on machine
60m         Normal    Created                  pod/drasi-resource-provider-58f69699f-56d58     Created container: daprd
60m         Normal    Started                  pod/drasi-resource-provider-58f69699f-56d58     Started container kubernetes-provider
60m         Normal    Pulled                   pod/drasi-resource-provider-58f69699f-56d58     Container image "ghcr.io/drasi-project/kubernetes-provider:0.9.2" already present on machine
60m         Normal    Created                  pod/drasi-api-698fd9bfd6-5nlt9                  Created container: daprd
60m         Normal    Killing                  pod/drasi-api-6dd754686f-k62cw                  Stopping container daprd
60m         Normal    Killing                  pod/drasi-resource-provider-587b9d9676-j5j22    Stopping container daprd
60m         Warning   Unhealthy                pod/drasi-resource-provider-587b9d9676-j5j22    Readiness probe failed: Get "http://10.224.0.39:3501/v1.0/healthz": dial tcp 10.224.0.39:3501: connect: connection refused
59m         Normal    SuccessfulCreate         replicaset/drasi-api-67ff9cbf55                 Created pod: drasi-api-67ff9cbf55-wzf4r
59m         Normal    Scheduled                pod/drasi-api-67ff9cbf55-wzf4r                  Successfully assigned drasi-system/drasi-api-67ff9cbf55-wzf4r to aks-system-12296413-vmss000000
59m         Normal    SuccessfulCreate         replicaset/drasi-resource-provider-58db46cb66   Created pod: drasi-resource-provider-58db46cb66-l4k9q
59m         Normal    Scheduled                pod/drasi-resource-provider-58db46cb66-l4k9q    Successfully assigned drasi-system/drasi-resource-provider-58db46cb66-l4k9q to aks-system-12296413-vmss000001
59m         Normal    Started                  pod/drasi-resource-provider-58db46cb66-l4k9q    Started container kubernetes-provider
59m         Normal    Pulled                   pod/drasi-resource-provider-58db46cb66-l4k9q    Container image "daprio/daprd:1.14.5" already present on machine
59m         Normal    Created                  pod/drasi-resource-provider-58db46cb66-l4k9q    Created container: kubernetes-provider
59m         Normal    Pulled                   pod/drasi-resource-provider-58db46cb66-l4k9q    Container image "ghcr.io/drasi-project/kubernetes-provider:0.9.2" already present on machine
59m         Normal    Created                  pod/drasi-resource-provider-58db46cb66-l4k9q    Created container: daprd
59m         Normal    Pulling                  pod/drasi-api-67ff9cbf55-wzf4r                  Pulling image "ghcr.io/drasi-project/api:0.9.2"
59m         Normal    Started                  pod/drasi-resource-provider-58db46cb66-l4k9q    Started container daprd
59m         Normal    Pulled                   pod/drasi-api-67ff9cbf55-wzf4r                  Container image "daprio/daprd:1.14.5" already present on machine
59m         Normal    Pulled                   pod/drasi-api-67ff9cbf55-wzf4r                  Successfully pulled image "ghcr.io/drasi-project/api:0.9.2" in 3.353s (3.353s including waiting). Image size: 19687124 bytes.
59m         Normal    Created                  pod/drasi-api-67ff9cbf55-wzf4r                  Created container: drasi-api
59m         Normal    Started                  pod/drasi-api-67ff9cbf55-wzf4r                  Started container drasi-api
59m         Normal    Created                  pod/drasi-api-67ff9cbf55-wzf4r                  Created container: daprd
59m         Normal    Started                  pod/drasi-api-67ff9cbf55-wzf4r                  Started container daprd
59m         Warning   Unhealthy                pod/drasi-resource-provider-58db46cb66-l4k9q    Liveness probe failed: HTTP probe failed with statuscode: 500
59m         Warning   Unhealthy                pod/drasi-api-67ff9cbf55-wzf4r                  Liveness probe failed: HTTP probe failed with statuscode: 500
59m         Normal    SuccessfulDelete         replicaset/drasi-resource-provider-58f69699f    Deleted pod: drasi-resource-provider-58f69699f-56d58
59m         Normal    ScalingReplicaSet        deployment/drasi-resource-provider              (combined from similar events): Scaled down replica set drasi-resource-provider-58f69699f from 1 to 0
59m         Normal    Killing                  pod/drasi-resource-provider-58f69699f-56d58     Stopping container kubernetes-provider
59m         Normal    Killing                  pod/drasi-resource-provider-58f69699f-56d58     Stopping container daprd
59m         Normal    Killing                  pod/drasi-api-698fd9bfd6-5nlt9                  Stopping container daprd
59m         Normal    Killing                  pod/drasi-api-698fd9bfd6-5nlt9                  Stopping container drasi-api
59m         Normal    SuccessfulDelete         replicaset/drasi-api-698fd9bfd6                 Deleted pod: drasi-api-698fd9bfd6-5nlt9
59m         Normal    ScalingReplicaSet        deployment/drasi-api                            (combined from similar events): Scaled down replica set drasi-api-698fd9bfd6 from 1 to 0
59m         Warning   Unhealthy                pod/drasi-resource-provider-58f69699f-56d58     Readiness probe failed: Get "http://10.224.0.14:3501/v1.0/healthz": dial tcp 10.224.0.14:3501: connect: connection refused
42m         Normal    Killing                  pod/drasi-redis-0                               Stopping container redis
42m         Normal    ScalingReplicaSet        deployment/drasi-resource-provider              Scaled up replica set drasi-resource-provider-7bd77766b4 from 0 to 1
42m         Normal    Killing                  pod/drasi-mongo-0                               Stopping container mongo
42m         Normal    Scheduled                pod/drasi-redis-0                               Successfully assigned drasi-system/drasi-redis-0 to aks-system-12296413-vmss000001
42m         Normal    ScalingReplicaSet        deployment/drasi-api                            Scaled up replica set drasi-api-7b6665c857 from 0 to 1
42m         Normal    Scheduled                pod/drasi-api-7b6665c857-gtfzr                  Successfully assigned drasi-system/drasi-api-7b6665c857-gtfzr to aks-system-12296413-vmss000000
42m         Normal    Pulling                  pod/drasi-resource-provider-7bd77766b4-62qcr    Pulling image "ghcr.io/drasi-project/kubernetes-provider:0.10.0"
42m         Normal    Pulling                  pod/drasi-api-7b6665c857-gtfzr                  Pulling image "ghcr.io/drasi-project/api:0.10.0"
42m         Normal    SuccessfulCreate         replicaset/drasi-resource-provider-7bd77766b4   Created pod: drasi-resource-provider-7bd77766b4-62qcr
42m         Normal    Scheduled                pod/drasi-resource-provider-7bd77766b4-62qcr    Successfully assigned drasi-system/drasi-resource-provider-7bd77766b4-62qcr to aks-system-12296413-vmss000001
42m         Normal    Scheduled                pod/drasi-mongo-0                               Successfully assigned drasi-system/drasi-mongo-0 to aks-system-12296413-vmss000000
42m         Normal    SuccessfulCreate         replicaset/drasi-api-7b6665c857                 Created pod: drasi-api-7b6665c857-gtfzr
42m         Normal    SuccessfulDelete         replicaset/drasi-api-7b6665c857                 Deleted pod: drasi-api-7b6665c857-gtfzr
42m         Normal    ScalingReplicaSet        deployment/drasi-api                            Scaled down replica set drasi-api-7b6665c857 from 1 to 0
42m         Normal    Pulled                   pod/drasi-mongo-0                               Container image "ghcr.io/drasi-project/mongo:6" already present on machine
42m         Normal    Created                  pod/drasi-mongo-0                               Created container: mongo
42m         Normal    Started                  pod/drasi-mongo-0                               Started container mongo
42m         Normal    SuccessfulDelete         replicaset/drasi-resource-provider-7bd77766b4   Deleted pod: drasi-resource-provider-7bd77766b4-62qcr
42m         Normal    ScalingReplicaSet        deployment/drasi-resource-provider              Scaled down replica set drasi-resource-provider-7bd77766b4 from 1 to 0
42m         Normal    Created                  pod/drasi-resource-provider-7bd77766b4-62qcr    Created container: daprd
42m         Normal    Created                  pod/drasi-resource-provider-7bd77766b4-62qcr    Created container: kubernetes-provider
42m         Normal    Started                  pod/drasi-resource-provider-7bd77766b4-62qcr    Started container daprd
42m         Normal    Pulled                   pod/drasi-resource-provider-7bd77766b4-62qcr    Successfully pulled image "ghcr.io/drasi-project/kubernetes-provider:0.10.0" in 2.966s (2.966s including waiting). Image size: 16090037 bytes.
42m         Normal    Pulled                   pod/drasi-resource-provider-7bd77766b4-62qcr    Container image "daprio/daprd:1.14.5" already present on machine
42m         Normal    Started                  pod/drasi-resource-provider-7bd77766b4-62qcr    Started container kubernetes-provider
42m         Normal    Killing                  pod/drasi-api-7b6665c857-gtfzr                  Stopping container daprd
42m         Normal    Created                  pod/drasi-api-7b6665c857-gtfzr                  Created container: drasi-api
42m         Normal    Pulled                   pod/drasi-api-7b6665c857-gtfzr                  Container image "daprio/daprd:1.14.5" already present on machine
42m         Normal    Killing                  pod/drasi-resource-provider-7bd77766b4-62qcr    Stopping container daprd
42m         Normal    Created                  pod/drasi-api-7b6665c857-gtfzr                  Created container: daprd
42m         Normal    Killing                  pod/drasi-resource-provider-7bd77766b4-62qcr    Stopping container kubernetes-provider
42m         Normal    Started                  pod/drasi-api-7b6665c857-gtfzr                  Started container drasi-api
42m         Normal    Killing                  pod/drasi-mongo-0                               Stopping container mongo
42m         Normal    Started                  pod/drasi-api-7b6665c857-gtfzr                  Started container daprd
42m         Normal    Killing                  pod/drasi-api-7b6665c857-gtfzr                  Stopping container drasi-api
42m         Normal    Pulled                   pod/drasi-api-7b6665c857-gtfzr                  Successfully pulled image "ghcr.io/drasi-project/api:0.10.0" in 3.36s (3.36s including waiting). Image size: 19666209 bytes.
42m         Normal    Scheduled                pod/drasi-mongo-0                               Successfully assigned drasi-system/drasi-mongo-0 to aks-system-12296413-vmss000000
42m         Normal    Started                  pod/drasi-mongo-0                               Started container mongo
42m         Normal    Created                  pod/drasi-mongo-0                               Created container: mongo
42m         Normal    Pulled                   pod/drasi-mongo-0                               Container image "ghcr.io/drasi-project/mongo:6" already present on machine
42m         Normal    Scheduled                pod/default-query-host-6648c44f9-cqnmv          Successfully assigned drasi-system/default-query-host-6648c44f9-cqnmv to aks-system-12296413-vmss000001
42m         Normal    SuccessfulCreate         replicaset/default-query-host-6648c44f9         Created pod: default-query-host-6648c44f9-cqnmv
42m         Normal    SuccessfulCreate         replicaset/default-publish-api-7997dbd966       Created pod: default-publish-api-7997dbd966-xsg95
42m         Normal    ScalingReplicaSet        deployment/default-query-host                   Scaled up replica set default-query-host-6648c44f9 from 0 to 1
42m         Normal    Scheduled                pod/default-view-svc-59cc5cf78b-c64fq           Successfully assigned drasi-system/default-view-svc-59cc5cf78b-c64fq to aks-system-12296413-vmss000000
42m         Normal    ScalingReplicaSet        deployment/default-view-svc                     Scaled up replica set default-view-svc-59cc5cf78b from 0 to 1
42m         Normal    SuccessfulCreate         replicaset/default-view-svc-59cc5cf78b          Created pod: default-view-svc-59cc5cf78b-c64fq
42m         Normal    Scheduled                pod/default-publish-api-7997dbd966-xsg95        Successfully assigned drasi-system/default-publish-api-7997dbd966-xsg95 to aks-system-12296413-vmss000001
42m         Normal    ScalingReplicaSet        deployment/default-publish-api                  Scaled up replica set default-publish-api-7997dbd966 from 0 to 1
42m         Normal    Pulling                  pod/default-query-host-6648c44f9-cqnmv          Pulling image "daprio/daprd:1.9.0"
42m         Normal    Pulling                  pod/default-view-svc-59cc5cf78b-c64fq           Pulling image "daprio/daprd:1.9.0"
42m         Normal    Pulling                  pod/default-publish-api-7997dbd966-xsg95        Pulling image "daprio/daprd:1.9.0"
42m         Normal    SuccessfulAttachVolume   pod/drasi-redis-0                               AttachVolume.Attach succeeded for volume "pvc-7ea01195-d628-40ef-9051-b61a32d21271"
42m         Normal    Created                  pod/drasi-redis-0                               Created container: redis
42m         Normal    Pulled                   pod/drasi-redis-0                               Container image "ghcr.io/drasi-project/redis:7-alpine" already present on machine
42m         Normal    Started                  pod/drasi-redis-0                               Started container redis
42m         Normal    Pulled                   pod/default-publish-api-7997dbd966-xsg95        Successfully pulled image "daprio/daprd:1.9.0" in 5.248s (5.248s including waiting). Image size: 38393280 bytes.
42m         Normal    Pulled                   pod/default-view-svc-59cc5cf78b-c64fq           Successfully pulled image "daprio/daprd:1.9.0" in 5.35s (5.35s including waiting). Image size: 38393280 bytes.
42m         Normal    Pulled                   pod/default-query-host-6648c44f9-cqnmv          Successfully pulled image "daprio/daprd:1.9.0" in 5.232s (5.232s including waiting). Image size: 38393280 bytes.
42m         Normal    Killing                  pod/drasi-redis-0                               Stopping container redis
42m         Normal    Scheduled                pod/drasi-redis-0                               Successfully assigned drasi-system/drasi-redis-0 to aks-system-12296413-vmss000001
42m         Normal    Created                  pod/drasi-redis-0                               Created container: redis
42m         Normal    Started                  pod/drasi-redis-0                               Started container redis
42m         Normal    Pulled                   pod/drasi-redis-0                               Container image "ghcr.io/drasi-project/redis:7-alpine" already present on machine
41m         Normal    Started                  pod/default-query-host-6648c44f9-cqnmv          Started container daprd
41m         Normal    Started                  pod/default-publish-api-7997dbd966-xsg95        Started container daprd
41m         Normal    Pulling                  pod/default-publish-api-7997dbd966-xsg95        Pulling image "drasi-project/query-container-publish-api:latest"
41m         Warning   Failed                   pod/default-publish-api-7997dbd966-xsg95        Error: ErrImagePull
41m         Warning   Failed                   pod/default-publish-api-7997dbd966-xsg95        Failed to pull image "drasi-project/query-container-publish-api:latest": failed to pull and unpack image "docker.io/drasi-project/query-container-publish-api:latest": failed to resolve reference "docker.io/drasi-project/query-container-publish-api:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
41m         Normal    Pulling                  pod/default-query-host-6648c44f9-cqnmv          Pulling image "drasi-project/query-container-query-host:latest"
41m         Warning   Failed                   pod/default-query-host-6648c44f9-cqnmv          Failed to pull image "drasi-project/query-container-query-host:latest": failed to pull and unpack image "docker.io/drasi-project/query-container-query-host:latest": failed to resolve reference "docker.io/drasi-project/query-container-query-host:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
41m         Warning   BackOff                  pod/default-query-host-6648c44f9-cqnmv          Back-off restarting failed container daprd in pod default-query-host-6648c44f9-cqnmv_drasi-system(a786c0ec-9987-4533-94fd-1689b71c1ceb)
41m         Warning   Failed                   pod/default-query-host-6648c44f9-cqnmv          Error: ErrImagePull
41m         Normal    Pulling                  pod/default-view-svc-59cc5cf78b-c64fq           Pulling image "drasi-project/query-container-view-svc:latest"
